backend,reference_backend,method,metric,csv_value,backend_value,absolute_difference,status
cassandra,csv,BM25,MRR@10,0.35173404431216926,0.35173404431216926,0.0,PASS
cassandra,csv,BM25,Hit@1,0.2584635416666667,0.2584635416666667,0.0,PASS
cassandra,csv,BM25,Hit@5,0.46875,0.46875,0.0,PASS
cassandra,csv,BM25,Hit@10,0.5514322916666666,0.5514322916666666,0.0,PASS
cassandra,csv,BM25,Recall@10,0.4969203068446609,0.4969203068446609,0.0,PASS
cassandra,csv,BM25,nDCG@10,0.3732932459137181,0.3732932459137181,0.0,PASS
cassandra,csv,Dense-bge,MRR@10,0.4880931712962966,0.4880931712962966,0.0,PASS
cassandra,csv,Dense-bge,Hit@1,0.3756510416666667,0.3756510416666667,0.0,PASS
cassandra,csv,Dense-bge,Hit@5,0.6451822916666666,0.6451822916666666,0.0,PASS
cassandra,csv,Dense-bge,Hit@10,0.7337239583333334,0.7337239583333334,0.0,PASS
cassandra,csv,Dense-bge,Recall@10,0.6660266405351845,0.6660266405351845,0.0,PASS
cassandra,csv,Dense-bge,nDCG@10,0.5121375247985976,0.5121375247985976,0.0,PASS
cassandra,csv,Dense+GlobalKG,MRR@10,0.5154857494212968,0.5154857494212968,0.0,PASS
cassandra,csv,Dense+GlobalKG,Hit@1,0.404296875,0.404296875,0.0,PASS
cassandra,csv,Dense+GlobalKG,Hit@5,0.6666666666666666,0.6666666666666666,0.0,PASS
cassandra,csv,Dense+GlobalKG,Hit@10,0.7604166666666666,0.7604166666666666,0.0,PASS
cassandra,csv,Dense+GlobalKG,Recall@10,0.6919113936506118,0.6919113936506118,0.0,PASS
cassandra,csv,Dense+GlobalKG,nDCG@10,0.5373432223649508,0.5373432223649508,0.0,PASS
cassandra,csv,RRF_compact,MRR@10,0.5204264322916669,0.5204264322916669,0.0,PASS
cassandra,csv,RRF_compact,Hit@1,0.3977864583333333,0.3977864583333333,0.0,PASS
cassandra,csv,RRF_compact,Hit@5,0.6881510416666666,0.6881510416666666,0.0,PASS
cassandra,csv,RRF_compact,Hit@10,0.7864583333333334,0.7864583333333334,0.0,PASS
cassandra,csv,RRF_compact,Recall@10,0.7147450138141048,0.7147450138141048,0.0,PASS
cassandra,csv,RRF_compact,nDCG@10,0.5467533918339578,0.5467533918339578,0.0,PASS
cassandra,csv,ZScore-Raw,MRR@10,0.50624896660053,0.50624896660053,0.0,PASS
cassandra,csv,ZScore-Raw,Hit@1,0.3782552083333333,0.3782552083333333,0.0,PASS
cassandra,csv,ZScore-Raw,Hit@5,0.6822916666666666,0.6822916666666666,0.0,PASS
cassandra,csv,ZScore-Raw,Hit@10,0.7708333333333334,0.7708333333333334,0.0,PASS
cassandra,csv,ZScore-Raw,Recall@10,0.6985234369968248,0.6985234369968248,0.0,PASS
cassandra,csv,ZScore-Raw,nDCG@10,0.5326317057892939,0.5326317057892939,0.0,PASS
cassandra,csv,ZScore-RawERK,MRR@10,0.5468279803240745,0.5468279803240745,0.0,PASS
cassandra,csv,ZScore-RawERK,Hit@1,0.4244791666666667,0.4244791666666667,0.0,PASS
cassandra,csv,ZScore-RawERK,Hit@5,0.712890625,0.712890625,0.0,PASS
cassandra,csv,ZScore-RawERK,Hit@10,0.7981770833333334,0.7981770833333334,0.0,PASS
cassandra,csv,ZScore-RawERK,Recall@10,0.7248815105562761,0.7248815105562761,0.0,PASS
cassandra,csv,ZScore-RawERK,nDCG@10,0.5691622738585794,0.5691622738585794,0.0,PASS
neo4j,csv,BM25,MRR@10,0.35173404431216926,0.35173404431216926,0.0,PASS
