run_id,system,graph_id,write_graph_id,clients,hop,fanout,cycle_policy,target_write_ratio,actual_write_ratio,repeat,mode,warm_mode,warmup_seconds,measurement_seconds,completed_reads,completed_writes,read_QPS,write_QPS,total_ops_QPS,read_mean_ms,read_p50_ms,read_p95_ms,read_p99_ms,write_mean_ms,write_p50_ms,write_p95_ms,write_p99_ms,read_error_count,write_error_count,total_error_rate,cache_enabled,cache_hit_rate,effective_latency_ms,frontier_workers,relation_index_enabled,backend_state,read_hash_spotcheck_passed,write_validation_passed,logical_writes_validated,physical_writes_per_logical_write
20260709,neo4j,c3_scale_1M_seed42,sysaxis1m_write_sink_neo4j_w0_r1_warm_20260709,32,2,20,path,0,0.0,1,warm,process_warm,15,45.0,20742,0,460.933,,460.933,69.489,50.081,171.528,486.609,,,,,0,0,0.0,False,,,0,False,process_warm,True,,,1
20260709,cassandra,c3_scale_1M_seed42,sysaxis1m_write_sink_cassandra_w0_r1_warm_20260709,32,2,20,path,0,0.0,1,warm,process_warm,15,45.0,28504,0,633.422,,633.422,50.543,43.969,86.45,115.579,,,,,0,0,0.0,False,,,16,False,process_warm,True,,,4
20260709,neo4j,c3_scale_1M_seed42,sysaxis1m_write_sink_neo4j_w0_r2_warm_20260709,32,2,20,path,0,0.0,2,warm,process_warm,15,45.0,20597,0,457.711,,457.711,69.956,50.294,175.696,477.148,,,,,0,0,0.0,False,,,0,False,process_warm,True,,,1
20260709,cassandra,c3_scale_1M_seed42,sysaxis1m_write_sink_cassandra_w0_r2_warm_20260709,32,2,20,path,0,0.0,2,warm,process_warm,15,45.0,28767,0,639.267,,639.267,50.109,44.258,84.625,103.869,,,,,0,0,0.0,False,,,16,False,process_warm,True,,,4
20260709,cassandra,c3_scale_1M_seed42,sysaxis1m_write_sink_cassandra_w0_r3_warm_20260709,32,2,20,path,0,0.0,3,warm,process_warm,15,45.0,28709,0,637.978,,637.978,50.19,44.807,82.899,105.05,,,,,0,0,0.0,False,,,16,False,process_warm,True,,,4
20260709,neo4j,c3_scale_1M_seed42,sysaxis1m_write_sink_neo4j_w0_r3_warm_20260709,32,2,20,path,0,0.0,3,warm,process_warm,15,45.0,20863,0,463.622,,463.622,69.081,49.827,169.22,495.604,,,,,0,0,0.0,False,,,0,False,process_warm,True,,,1
20260709,neo4j,c3_scale_1M_seed42,sysaxis1m_write_sink_neo4j_w0_r4_warm_20260709,32,2,20,path,0,0.0,4,warm,process_warm,15,45.0,19971,0,443.8,,443.8,72.193,51.781,180.499,499.848,,,,,0,0,0.0,False,,,0,False,process_warm,True,,,1
20260709,cassandra,c3_scale_1M_seed42,sysaxis1m_write_sink_cassandra_w0_r4_warm_20260709,32,2,20,path,0,0.0,4,warm,process_warm,15,45.0,28568,0,634.844,,634.844,50.424,44.36,85.415,107.52,,,,,0,0,0.0,False,,,16,False,process_warm,True,,,4
20260709,neo4j,c3_scale_1M_seed42,sysaxis1m_write_sink_neo4j_w0_r5_warm_20260709,32,2,20,path,0,0.0,5,warm,process_warm,15,45.0,21359,0,474.644,,474.644,67.492,48.967,168.902,464.925,,,,,0,0,0.0,False,,,0,False,process_warm,True,,,1
20260709,cassandra,c3_scale_1M_seed42,sysaxis1m_write_sink_cassandra_w0_r5_warm_20260709,32,2,20,path,0,0.0,5,warm,process_warm,15,45.0,28647,0,636.6,,636.6,50.285,45.019,84.074,101.031,,,,,0,0,0.0,False,,,16,False,process_warm,True,,,4
20260709,neo4j,c3_scale_1M_seed42,sysaxis1m_write_sink_neo4j_w10_r1_warm_20260709,32,2,20,path,10,10.0,1,warm,process_warm,15,45.0,20552,2281,456.711,50.689,507.4,68.981,50.425,169.531,474.577,10.672,9.746,18.153,27.153,0,0,0.0,False,,,0,False,process_warm,True,True,20/20,1
20260709,cassandra,c3_scale_1M_seed42,sysaxis1m_write_sink_cassandra_w10_r1_warm_20260709,32,2,20,path,10,10.0,1,warm,process_warm,15,45.0,27324,3033,607.2,67.4,674.6,49.588,44.129,84.482,103.744,28.618,25.873,57.989,65.143,0,0,0.0,False,,,16,False,process_warm,True,True,20/20,4
20260709,neo4j,c3_scale_1M_seed42,sysaxis1m_write_sink_neo4j_w10_r2_warm_20260709,32,2,20,path,10,10.0,2,warm,process_warm,15,45.0,20463,2273,454.733,50.511,505.244,69.237,50.467,171.035,470.316,10.568,9.824,18.187,26.102,0,0,0.0,False,,,0,False,process_warm,True,True,20/20,1
20260709,cassandra,c3_scale_1M_seed42,sysaxis1m_write_sink_cassandra_w10_r2_warm_20260709,32,2,20,path,10,10.0,2,warm,process_warm,15,45.0,26380,2932,586.222,65.156,651.378,51.425,46.13,86.359,105.211,28.894,26.258,58.168,66.801,0,0,0.0,False,,,16,False,process_warm,True,True,20/20,4
20260709,neo4j,c3_scale_1M_seed42,sysaxis1m_write_sink_neo4j_w10_r3_warm_20260709,32,2,20,path,10,10.0,3,warm,process_warm,15,45.0,18843,2090,418.733,46.444,465.178,74.996,57.329,170.093,488.27,14.27,13.325,22.859,29.868,0,0,0.0,False,,,0,False,process_warm,True,True,20/20,1
20260709,cassandra,c3_scale_1M_seed42,sysaxis1m_write_sink_cassandra_w10_r3_warm_20260709,32,2,20,path,10,10.0,3,warm,process_warm,15,45.0,25658,2850,570.178,63.333,633.511,52.885,47.229,88.97,110.541,29.44,27.097,57.247,69.707,0,0,0.0,False,,,16,False,process_warm,True,True,20/20,4
20260709,cassandra,c3_scale_1M_seed42,sysaxis1m_write_sink_cassandra_w10_r4_warm_20260709,32,2,20,path,10,10.0,4,warm,process_warm,15,45.0,25895,2872,575.444,63.822,639.267,52.477,46.629,90.256,111.767,29.604,26.546,60.64,70.785,0,0,0.0,False,,,16,False,process_warm,True,True,20/20,4
20260709,neo4j,c3_scale_1M_seed42,sysaxis1m_write_sink_neo4j_w10_r4_warm_20260709,32,2,20,path,10,10.0,4,warm,process_warm,15,45.0,17293,1915,384.289,42.556,426.844,82.085,59.836,204.252,539.348,12.476,11.493,22.712,30.311,0,0,0.0,False,,,0,False,process_warm,True,True,20/20,1
20260709,neo4j,c3_scale_1M_seed42,sysaxis1m_write_sink_neo4j_w10_r5_warm_20260709,32,2,20,path,10,10.0,5,warm,process_warm,15,45.0,19241,2134,427.578,47.422,475.0,73.836,52.762,186.646,512.512,10.801,10.11,18.022,25.811,0,0,0.0,False,,,0,False,process_warm,True,True,20/20,1
20260709,cassandra,c3_scale_1M_seed42,sysaxis1m_write_sink_cassandra_w10_r5_warm_20260709,32,2,20,path,10,10.0,5,warm,process_warm,15,45.0,26996,2996,599.911,66.578,666.489,50.239,44.657,83.489,104.758,28.262,25.689,57.064,66.411,0,0,0.0,False,,,16,False,process_warm,True,True,20/20,4
20260709,neo4j,c3_scale_1M_seed42,sysaxis1m_write_sink_neo4j_w30_r1_warm_20260709,32,2,20,path,30,30.0,1,warm,process_warm,15,45.0,18371,7872,408.244,174.933,583.178,73.457,54.413,180.034,496.978,11.806,10.809,20.594,28.711,0,0,0.0,False,,,0,False,process_warm,True,True,20/20,1
20260709,cassandra,c3_scale_1M_seed42,sysaxis1m_write_sink_cassandra_w30_r1_warm_20260709,32,2,20,path,30,30.0,1,warm,process_warm,15,45.0,21907,9385,486.822,208.556,695.378,51.441,45.593,90.633,115.933,33.635,30.583,61.994,76.357,0,0,0.0,False,,,16,False,process_warm,True,True,20/20,4
