op_id,cell,concurrency,repetition,qa_id,scope_id,target_memory_id,edge_count,logical_mutations,commit_ms,graph_visible_ms,relation_candidates_visible_ms,sparse_index_visible_ms,dense_index_visible_ms,candidate_fetch_ms,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms,time_to_top10_ms,fresh_hit_at_10,graph_projection_ok,relation_candidate_ok,candidate_count
r2_measured_00050,cassandra-materialized,1,2,lr000010::conv-50_qa_124,lr000010::conv-50,lr000010::conv-50_session_23_D23:11,1,7,7.3454,41.5997,45.8209,70.0931,72.0643,4.8229,0.5907,0.3423,0.3364,78.2176,1,1,1,566
r2_measured_00069,cassandra-materialized,1,2,lr000000::conv-42_qa_34,lr000000::conv-42,lr000000::conv-42_session_3_D3:17,1,12,8.5212,36.748,50.8045,68.2647,70.2951,9.3634,0.4941,0.3183,0.3155,,0,1,1,626
r2_measured_00104,cassandra-materialized,1,2,lr000014::conv-49_qa_67,lr000014::conv-49,lr000014::conv-49_session_16_D16:24,1,12,10.3078,37.092,46.0929,63.3719,65.0499,12.8711,0.4761,0.2766,0.2927,79.0139,1,1,1,508
r2_measured_00142,cassandra-materialized,1,2,lr000005::conv-42_qa_180,lr000005::conv-42,lr000005::conv-42_session_25_D25:19,1,12,6.6787,35.8691,46.2116,64.0887,66.0636,10.3325,0.5081,0.3233,0.2929,77.5756,1,1,1,628
r2_measured_00147,cassandra-materialized,1,2,lr000000::conv-43_qa_113,lr000000::conv-43,lr000000::conv-43_session_12_D12:21,0,1,5.2361,33.5843,33.5883,53.4641,55.6441,13.3504,0.535,0.3525,0.2885,,0,1,1,679
r2_measured_00165,cassandra-materialized,1,2,lr000014::conv-43_qa_174,lr000014::conv-43,lr000014::conv-43_session_28_D28:10,0,1,7.2517,36.2485,36.2561,59.533,61.9545,7.157,0.615,0.4311,0.3622,70.5868,1,1,1,679
r2_measured_00166,cassandra-materialized,1,2,lr000011::conv-49_qa_66,lr000011::conv-49,lr000011::conv-49_session_16_D16:10,1,16,7.0607,35.2419,44.2167,65.6729,67.3653,7.0151,0.4749,0.2797,0.3171,75.5036,1,1,1,509
r2_measured_00173,cassandra-materialized,1,2,lr000000::conv-47_qa_41,lr000000::conv-47,lr000000::conv-47_session_19_D19:12,1,10,5.9927,45.4936,54.4608,75.9492,78.1251,10.0129,0.5628,0.3828,0.3105,,0,1,1,686
r2_measured_00182,cassandra-materialized,1,2,lr000014::conv-41_qa_111,lr000014::conv-41,lr000014::conv-41_session_19_D19:3,1,8,8.3171,35.8094,46.5711,70.7843,73.1664,4.1125,0.6237,0.4273,0.352,78.7486,1,1,1,661
r2_measured_00216,cassandra-materialized,1,2,lr000002::conv-42_qa_140,lr000002::conv-42,lr000002::conv-42_session_17_D17:8,0,1,7.0188,37.4636,37.4689,55.6882,58.0835,10.9052,0.5888,0.3487,0.2925,,0,1,1,629
r2_measured_00237,cassandra-materialized,1,2,lr000012::conv-44_qa_1,lr000012::conv-44,lr000012::conv-44_session_1_D1:2,1,14,7.8658,43.4564,54.6287,78.3644,80.4454,6.3937,0.5914,0.3638,0.3222,88.1756,1,1,1,672
r2_measured_00247,cassandra-materialized,1,2,lr000010::conv-48_qa_157,lr000010::conv-48,lr000010::conv-48_session_20_D20:21,1,7,3.3737,34.9155,45.1282,65.1044,67.3467,6.7895,0.6605,0.4062,0.296,75.5659,1,1,1,680
r2_measured_00270,cassandra-materialized,1,2,lr000014::conv-49_qa_8,lr000014::conv-49,lr000014::conv-49_session_1_D1:14,1,12,4.7732,34.0374,45.855,64.6809,66.2645,10.2254,0.5293,0.2926,0.305,77.67,1,1,1,509
r2_measured_00278,cassandra-materialized,1,2,lr000013::conv-42_qa_195,lr000013::conv-42,lr000013::conv-42_session_28_D28:29,0,1,6.1331,35.3308,35.3359,54.3672,56.5594,8.4382,0.6118,0.3833,0.349,,0,1,1,624
r2_measured_00280,cassandra-materialized,1,2,lr000011::conv-41_qa_44,lr000011::conv-41,lr000011::conv-41_session_25_D25:2,1,10,6.9483,35.7703,55.4842,152.1065,155.1233,15.5962,0.6923,0.4394,0.3805,172.3099,1,1,1,662
r2_measured_00329,cassandra-materialized,1,2,lr000008::conv-44_qa_22,lr000008::conv-44,lr000008::conv-44_session_14_D14:1,2,16,11.6931,41.1731,75.9618,100.7254,103.1205,6.7185,0.6272,0.4087,0.3345,111.2802,1,1,1,674
r2_measured_00338,cassandra-materialized,1,2,lr000010::conv-26_qa_145,lr000010::conv-26,lr000010::conv-26_session_18_D18:5,1,10,7.5703,34.4069,46.0855,63.5925,64.9344,11.6839,0.4976,0.2481,0.3144,77.7273,1,1,1,418
r2_measured_00341,cassandra-materialized,1,2,lr000013::conv-48_qa_169,lr000013::conv-48,lr000013::conv-48_session_24_D24:2,2,14,3.4583,32.3084,52.685,72.423,75.0909,11.0745,0.7216,0.4656,0.3999,87.8561,1,1,1,679
r2_measured_00342,cassandra-materialized,1,2,lr000012::conv-48_qa_163,lr000012::conv-48,lr000012::conv-48_session_22_D22:25,0,1,4.1725,35.6314,35.6373,54.2663,56.4739,8.1354,0.5137,0.3547,0.3128,65.8459,1,1,1,681
r2_measured_00368,cassandra-materialized,1,2,lr000007::conv-44_qa_22,lr000007::conv-44,lr000007::conv-44_session_14_D14:1,2,16,8.058,36.9396,56.2983,77.6568,80.0267,8.8606,0.6282,0.4277,0.3538,90.366,1,1,1,675
r2_measured_00427,cassandra-materialized,1,2,lr000007::conv-49_qa_153,lr000007::conv-49,lr000007::conv-49_session_25_D25:8,1,7,7.062,38.21,48.048,122.4592,124.3765,15.1326,0.5423,0.2949,0.3316,140.7286,1,1,1,507
r2_measured_00479,cassandra-materialized,1,2,lr000007::conv-26_qa_150,lr000007::conv-26,lr000007::conv-26_session_18_D18:13,0,1,7.6178,36.4115,36.4158,50.1267,51.5896,16.1263,0.4817,0.245,0.3007,,0,1,1,418
r2_measured_00519,cassandra-materialized,1,2,lr000005::conv-30_qa_8,lr000005::conv-30,lr000005::conv-30_session_2_D2:4,2,20,10.4786,42.3652,71.9387,88.7218,89.9765,4.6773,0.357,0.2638,0.3348,95.6557,1,1,1,369
r2_measured_00534,cassandra-materialized,1,2,lr000010::conv-44_qa_25,lr000010::conv-44,lr000010::conv-44_session_17_D17:1,1,7,4.5435,38.1213,44.8967,63.9863,66.1003,11.4244,0.5608,0.3884,0.2975,78.8373,1,1,1,674
r2_measured_00549,cassandra-materialized,1,2,lr000006::conv-47_qa_13,lr000006::conv-47,lr000006::conv-47_session_6_D6:12,1,12,7.226,36.9164,45.8147,65.053,67.1222,10.6017,0.5333,0.3598,0.298,78.9703,1,1,1,688
r2_measured_00560,cassandra-materialized,1,2,lr000001::conv-49_qa_112,lr000001::conv-49,lr000001::conv-49_session_9_D9:5,1,16,7.9338,37.3681,47.8242,64.9016,66.6832,10.5108,0.5496,0.2909,0.3441,,0,1,1,508
r2_measured_00572,cassandra-materialized,1,2,lr000014::conv-43_qa_158,lr000014::conv-43,lr000014::conv-43_session_25_D25:14,1,12,13.0663,42.6946,47.4061,70.2709,72.497,6.3915,0.5897,0.3624,0.2955,80.1982,1,1,1,680
r2_measured_00588,cassandra-materialized,1,2,lr000009::conv-42_qa_106,lr000009::conv-42,lr000009::conv-42_session_4_D4:16,0,1,6.815,35.0907,35.0967,56.1171,58.2284,9.4073,0.5703,0.3577,0.3037,,0,1,1,625
r2_measured_00608,cassandra-materialized,1,2,lr000009::conv-44_qa_34,lr000009::conv-44,lr000009::conv-44_session_12_D12:1,1,7,7.2957,37.2731,47.9947,75.6996,78.201,17.9251,0.7498,0.5582,0.4465,97.9556,1,1,1,673
r2_measured_00644,cassandra-materialized,1,2,lr000002::conv-26_qa_103,lr000002::conv-26,lr000002::conv-26_session_6_D6:10,0,1,6.9132,35.9924,35.9964,55.6394,57.4979,9.7164,0.4789,0.268,0.3766,68.3954,1,1,1,419
r2_measured_00652,cassandra-materialized,1,2,lr000014::conv-42_qa_169,lr000014::conv-42,lr000014::conv-42_session_24_D24:4,1,7,6.4195,34.8784,44.3437,67.0829,69.0709,5.4117,0.5054,0.3333,0.319,,0,1,1,625
r2_measured_00671,cassandra-materialized,1,2,lr000005::conv-47_qa_107,lr000005::conv-47,lr000005::conv-47_session_18_D18:3,0,1,7.5008,44.7441,44.7497,70.1274,72.378,13.3794,0.6757,0.4877,0.3941,,0,1,1,689
r2_measured_00728,cassandra-materialized,1,2,lr000007::conv-41_qa_151,lr000007::conv-41,lr000007::conv-41_session_32_D32:11,1,7,9.8797,36.3678,44.7356,67.5458,69.571,6.7428,0.5166,0.3404,0.2965,77.5251,1,1,1,660
r2_measured_00730,cassandra-materialized,1,2,lr000001::conv-42_qa_67,lr000001::conv-42,lr000001::conv-42_session_8_D8:3,0,1,5.9933,47.4496,47.4549,68.0771,70.0327,7.9304,0.508,0.3588,0.298,,0,1,1,628
r2_measured_00764,cassandra-materialized,1,2,lr000013::conv-48_qa_187,lr000013::conv-48,lr000013::conv-48_session_29_D29:12,1,7,7.9846,39.5306,50.6604,70.4039,72.6464,9.3524,0.6471,0.3942,0.3261,83.4322,1,1,1,680
r2_measured_00783,cassandra-materialized,1,2,lr000000::conv-41_qa_84,lr000000::conv-41,lr000000::conv-41_session_10_D10:10,1,14,7.2751,35.2445,45.0947,74.4454,77.0822,11.0792,0.661,0.4177,0.3714,89.681,1,1,1,663
r2_measured_00844,cassandra-materialized,1,2,lr000006::conv-50_qa_15,lr000006::conv-50,lr000006::conv-50_session_8_D8:4,1,7,7.1676,43.6022,59.0489,86.6449,88.4611,12.7318,0.5063,0.3096,0.3076,102.3698,1,1,1,567
r2_measured_00847,cassandra-materialized,1,2,lr000010::conv-50_qa_7,lr000010::conv-50,lr000010::conv-50_session_4_D4:17,0,1,25.3807,50.9591,50.966,74.8008,77.3481,20.0163,0.5669,0.3671,0.3492,98.7107,1,1,1,567
r2_measured_00854,cassandra-materialized,1,2,lr000013::conv-41_qa_53,lr000013::conv-41,lr000013::conv-41_session_28_D28:11,2,16,13.5021,61.184,81.5623,110.0391,112.2239,12.4145,0.5596,0.3514,0.3007,125.9105,1,1,1,662
r2_measured_00868,cassandra-materialized,1,2,lr000012::conv-47_qa_118,lr000012::conv-47,lr000012::conv-47_session_22_D22:10,1,10,7.9057,37.1408,46.5832,72.6526,74.8524,15.616,0.666,0.4699,0.4194,92.1073,1,1,1,688
r2_measured_00897,cassandra-materialized,1,2,lr000007::conv-50_qa_91,lr000007::conv-50,lr000007::conv-50_session_12_D12:7,1,6,6.0789,43.63,55.4424,138.7179,140.4757,6.8752,0.4934,0.3083,0.2943,148.5025,1,1,1,566
r2_measured_00914,cassandra-materialized,1,2,lr000008::conv-26_qa_90,lr000008::conv-26,lr000008::conv-26_session_3_D3:16,1,8,6.2089,35.3391,45.2162,61.7018,63.1688,11.4228,0.4675,0.2503,0.3167,,0,1,1,418
